dn;2,5;2,6;2,8;3;3,2;3,5;4;4,5;5;5,5;6;7;8;9;10;11;12;14;16;17;18;20;22;25;28;30;32;36
20;1,08;1,12;1,19;1,26;1,33;1,42;1,58;;;;;;;;;;;;;;;;;;;;;
21,3;1,16;1,20;1,28;1,35;1,43;1,54;1,71;;;;;;;;;;;;;;;;;;;;;
22;1,20;1,24;1,33;1,41;1,48;1,60;1,78;1,94;2,10;2,24;2,37;2,59;2,76;;;;;;;;;;;;;;;
25;1,39;1,44;1,53;1,63;1,72;1,86;2,07;2,27;2,47;2,64;2,81;3,11;3,35;;;;;;;;;;;;;;;
26,9;1,50;1,56;1,66;1,77;1,87;2,02;2,26;2,49;2,70;2,90;3,09;3,44;3,73;;;;;;;;;;;;;;;
28;1,57;1,63;1,74;1,85;1,96;2,11;2,37;2,61;2,84;3,05;3,26;3,63;3,95;;;;;;;;;;;;;;;
30;1,70;1,76;1,88;2,00;2,11;2,29;2,56;2,83;3,08;3,32;3,55;3,97;4,34;;;;;;;;;;;;;;;
31,8;1,81;1,87;2,00;2,13;2,26;2,44;2,74;3,03;3,30;3,57;3,82;4,28;4,70;;;;;;;;;;;;;;;
32;1,82;1,89;2,02;2,15;2,27;2,46;2,76;3,05;3,33;3,59;3,85;4,32;4,73;;;;;;;;;;;;;;;
33,7;1,92;1,99;2,13;2,27;2,41;2,61;2,93;3,24;3,54;3,82;4,10;4,61;5,07;;;;;;;;;;;;;;;
35;2,00;2,08;2,22;2,37;2,51;2,72;3,06;3,38;3,70;4,00;4,29;4,83;5,33;;;;;;;;;;;;;;;
38;2,19;2,27;2,43;2,59;2,75;2,98;3,35;3,72;4,07;4,41;4,73;5,35;5,92;;;;;;;;;;;;;;;
40;2,31;2,40;2,57;2,74;2,90;3,15;3,55;3,94;4,32;4,68;5,03;5,70;6,31;;;;;;;;;;;;;;;
42;2,44;2,53;2,71;2,89;3,06;3,32;3,75;4,16;4,56;4,95;5,33;6,04;6,71;7,32;7,89;;;;;;;;;;;;;
42,4;2,46;2,55;2,73;2,91;3,09;3,36;3,79;4,21;4,61;5,00;5,39;6,11;6,79;7,41;7,99;;;;;;;;;;;;;
44,5;2,59;2,69;2,88;3,07;3,26;3,54;3,99;4,44;4,87;5,29;5,70;6,47;7,20;7,88;8,51;;;;;;;;;;;;;
45;2,62;2,72;2,91;3,11;3,30;3,58;4,04;4,49;4,93;5,36;5,77;6,56;7,30;7,99;8,63;;;;;;;;;;;;;
48,3;2,82;2,93;3,14;3,35;3,56;3,87;4,37;4,86;5,34;5,80;6,26;7,13;7,95;8,72;9,44;;;;;;;;;;;;;
50;2,93;3,04;3,26;3,48;3,69;4,01;4,54;5,05;5,55;6,04;6,51;7,42;8,29;9,10;9,86;;;;;;;;;;;;;
51;;;;3,55;3,77;4,10;4,64;5,16;5,67;6,17;6,66;7,60;8,48;9,32;10,11;;;;;;;;;;;;;
54;;;;3,77;4,01;4,36;4,93;5,49;6,04;6,58;7,10;8,11;9,07;9,99;10,85;11,66;;;;;;;;;;;;
57;;;;3,99;4,25;4,62;5,23;5,83;6,41;6,98;7,55;8,63;9,67;10,65;11,59;12,48;13,32;;;;;;;;;;;
60;;;;4,22;4,48;4,88;5,52;6,16;6,78;7,39;7,99;9,15;10,26;11,32;12,33;13,29;14,20;15,88;;;;;;;;;;
60,3;;;;4,24;4,51;4,90;5,55;6,19;6,82;7,43;8,03;9,20;10,32;11,39;12,40;13,37;14,29;15,98;;;;;;;;;;
63,5;;;;4,48;4,76;5,18;5,87;6,55;7,21;7,87;8,51;9,75;10,95;12,10;13,19;14,24;15,24;17,09;;;;;;;;;;
68;;;;4,81;5,11;5,57;6,31;7,05;7,77;8,48;9,17;10,53;11,84;13,09;14,30;15,46;16,57;18,64;20,52;;;;;;;;;
70;;;;4,96;5,27;5,74;6,51;7,27;8,01;8,75;9,47;10,88;12,23;13,54;14,80;16,00;17,16;19,33;21,31;;;;;;;;;
73;;;;5,18;5,51;6,00;6,81;7,60;8,38;9,16;9,91;11,39;12,82;14,20;15,54;16,82;18,05;20,37;22,49;23,48;24,41;;;;;;;
76;;;;5,40;5,74;6,26;7,10;7,93;8,75;9,56;10,36;11,91;13,42;14,87;16,28;17,63;18,94;21,40;23,67;24,73;25,75;;;;;;;
82,5;;;;;;6,82;7,74;8,66;9,56;10,44;11,32;13,03;14,70;16,31;17,88;19,40;20,86;23,65;26,24;27,46;28,63;;;;;;;
83;;;;;;6,86;7,79;8,71;9,62;10,51;11,39;13,12;14,80;16,42;18,00;19,53;21,01;23,82;26,44;27,67;28,85;;;;;;;
89;;;;;;7,38;8,38;9,38;10,36;11,33;12,28;14,15;15,98;17,76;19,48;21,16;22,79;25,89;28,80;30,18;31,52;34,03;36,35;;;;;
95;;;;;;7,90;8,98;10,04;11,10;12,14;13,17;15,19;17,16;19,09;20,96;22,79;24,56;27,96;31,17;32,70;34,18;36,99;39,60;;;;;
102;;;;;;8,50;9,67;10,82;11,96;13,09;14,20;16,40;18,54;20,64;22,69;24,68;26,63;30,38;33,93;35,63;37,29;40,44;43,40;;;;;
104;;;;;;;9,86;11,04;12,21;13,36;14,50;16,74;18,94;21,08;23,18;25,23;27,22;31,07;34,72;36,47;38,17;41,43;44,49;;;;;
108;;;;;;;10,26;11,49;12,70;13,90;15,09;17,43;19,73;21,97;24,17;26,31;28,41;32,45;36,30;38,15;39,95;43,40;46,66;51,17;55,24;;;
114;;;;;;;10,85;12,15;13,44;14,72;15,98;18,47;20,91;23,30;25,65;27,94;30,18;34,52;38,67;40,66;42,61;46,36;49,91;54,87;59,38;;;
121;;;;;;;11,54;12,93;14,30;15,67;17,02;19,68;22,29;24,86;27,37;29,84;32,26;36,94;41,43;43,60;45,72;49,81;53,71;59,18;64,21;;;
127;;;;;;;12,13;13,59;15,04;16,48;17,90;20,71;23,48;26,19;28,85;31,47;34,03;39,01;43,80;46,11;48,38;52,77;56,96;62,88;68,36;71,76;;
133;;;;;;;12,72;14,26;15,78;17,29;18,79;21,75;24,66;27,52;30,33;33,09;35,81;41,08;46,16;48,63;51,05;55,73;60,22;66,58;72,50;76,20;79,70;
140;;;;;;;;15,04;16,65;18,24;19,83;22,96;26,04;29,07;32,06;34,99;37,88;43,50;48,93;51,56;54,15;59,18;64,02;70,90;77,33;81,38;85,22;92,33
146;;;;;;;;15,70;17,39;19,06;20,71;23,99;27,22;30,41;33,54;36,62;39,65;45,57;51,29;54,08;56,82;62,14;67,27;74,60;81,48;85,82;89,96;97,65
152;;;;;;;;16,37;18,13;19,87;21,60;25,03;28,41;31,74;35,02;38,25;41,43;47,64;53,66;56,59;59,48;65,10;70,53;78,30;85,62;90,26;94,69;102,98
159;;;;;;;;17,14;18,99;20,82;22,64;26,24;29,79;33,29;36,74;40,15;43,50;50,06;56,42;59,53;62,59;68,55;74,33;82,61;90,45;95,43;100,22;109,19
165;;;;;;;;;19,73;21,63;23,53;27,27;30,97;34,62;38,22;41,77;45,28;52,13;58,79;62,04;65,25;71,51;77,58;86,31;94,60;99,87;104,95;114,52
168;;;;;;;;;20,10;22,04;23,97;27,79;31,56;35,29;38,96;42,59;46,16;53,17;59,97;63,30;66,58;72,99;79,21;88,16;96,67;102,09;107,32;117,18
178;;;;;;;;;21,33;23,40;25,45;29,52;33,54;37,51;41,43;45,30;49,12;56,62;63,92;67,49;71,02;77,93;84,63;94,32;103,57;109,49;115,21;126,06
180;;;;;;;;;21,58;23,67;25,75;29,86;33,93;37,95;41,92;45,84;49,71;57,31;64,71;68,33;71,91;78,91;85,72;95,56;104,95;110,97;116,79;127,84
194;;;;;;;;;23,30;25,57;27,82;32,28;36,69;41,06;45,37;49,64;53,86;62,14;70,23;74,20;78,12;85,82;93,31;104,19;114,62;121,33;127,84;140,27
203;;;;;;;;;;;;33,83;38,47;43,06;47,59;52,08;56,52;65,25;73,78;77,97;82,12;90,26;98,20;109,74;120,83;127,99;134,94;148,26
219;;;;;;;;;;;;36,60;41,63;46,61;51,54;56,42;61,26;70,77;80,10;84,68;89,22;98,15;106,88;119,60;131,88;139,82;147,57;162,46
245;;;;;;;;;;;;;46,76;52,38;57,95;63,47;68,95;79,75;90,35;95,58;100,76;110,97;120,98;135,63;149,83;159,06;168,08;185,54
273;;;;;;;;;;;;;52,28;58,59;64,86;71,07;77,24;89,42;101,40;107,32;113,19;124,78;136,17;152,89;169,17;179,77;190,18;210,40
299;;;;;;;;;;;;;57,41;64,36;71,27;78,12;84,93;98,39;111,66;118,22;124,73;137,60;150,28;168,92;187,12;199,01;210,70;233,48
324;;;;;;;;;;;;;62,34;69,91;77,43;84,90;92,33;107,02;121,52;128,70;135,83;149,93;163,84;184,33;204,38;217,50;230,42;255,67
325;;;;;;;;;;;;;62,54;70,13;77,68;85,18;92,62;107,37;121,92;129,12;136,27;150,43;164,38;184,95;205,07;218,24;231,21;256,56
351;;;;;;;;;;;;;67,67;75,90;84,09;92,23;100,32;116,35;132,18;140,02;147,81;163,25;178,49;200,98;223,03;237,48;251,73;279,64
356;;;;;;;;;;;;;68,65;77,01;85,32;93,58;101,80;118,07;134,15;142,12;150,03;165,72;181,20;204,06;226,48;241,17;255,67;284,08
377;;;;;;;;;;;;;;81,67;90,50;99,28;108,01;125,32;142,44;150,92;159,35;176,07;192,59;217,01;240,98;256,71;272,25;302,73
402;;;;;;;;;;;;;;87,22;96,67;106,06;115,41;133,95;152,30;161,40;170,45;188,40;206,16;232,42;258,24;275,21;291,97;324,92
406;;;;;;;;;;;;;;88,11;97,65;107,15;116,59;135,33;153,88;163,08;172,23;190,38;208,33;234,89;261,00;278,16;295,13;328,47
426;;;;;;;;;;;;;;92,55;102,59;112,57;122,51;142,24;161,77;171,46;181,10;200,24;219,18;247,22;274,81;292,96;310,91;346,23
450;;;;;;;;;;;;;;97,88;108,50;119,08;129,61;150,52;171,24;181,52;191,76;212,08;232,20;262,01;291,38;310,72;329,85;367,53
457;;;;;;;;;;;;;;99,43;110,23;120,98;131,68;152,94;;;;215,53;236,00;266,33;296,22;315,89;335,38;373,75
480;;;;;;;;;;;;;;104,53;115,90;127,22;138,49;160,88;;;;;;280,51;312,10;332,91;353,53;394,17
500;;;;;;;;;;;;;;108,97;120,83;132,65;144,41;167,79;;;;;;292,84;325,91;347,71;369,31;411,92
508;;;;;;;;;;;;;;110,75;122,81;134,82;146,78;170,55;194,12;205,84;217,50;240,68;263,66;297,77;331,43;353,62;375,62;419,02
530;;;;;;;;;;;;;;115,63;128,23;140,78;153,29;178,14;;;;;;311,33;346,62;369,90;392,98;438,55
